locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,3143 W Colorado Ave,Colorado Springs,CO,80904,ATMWG001863,<MISSING>,38.853795,-104.874338,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Safeway,3275 W Colorado Ave,Colorado Springs,CO,80904,ATMSW001285,<MISSING>,38.854886,-104.876987,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Lisa Nails,215 N Academy Blvd,Colorado Spring,CO,80909,ATMP370581,<MISSING>,38.836255,-104.756703,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,710 Cheyenne Meadows Rd,Colorado Springs,CO,80906,ATMKR002543,<MISSING>,38.777401,-104.814471,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug 2,1930 S Academy Blvd,Colorado Springs,CO,80916,ATMKR002309,<MISSING>,38.804178,-104.758821,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug 1,1930 S Academy Blvd,Colorado Springs,CO,80916,ATMKR002548,<MISSING>,38.804178,-104.758821,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,4305 E Platte Ave,Colorado Springs,CO,80915,ATMWG006731,<MISSING>,38.838975,-104.747327,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,4335 Airport Rd,Colorado Springs,CO,80916,ATMKR002541,<MISSING>,38.824851,-104.747654,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,4335 Airport Rd,Colorado Springs,CO,80916,ATMKR002545,<MISSING>,38.824851,-104.747654,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Walgreens,1920 S Chelton Rd,Colorado Springs,CO,80916,ATMWG004596,<MISSING>,38.804390,-104.756845,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,137 Manitou Ave,Manitou Springs,CO,80829,ATMKR001755,<MISSING>,38.858163,-104.894727,12:00am - 12:00am Sun-Sat,USA,ATM
key.com,https://www.key.com/loc/DirectorServlet?action=getEntities&entity=BRCH&entity=ATM&entity=MCD&lat=38.833797454833984&lng=-104.82144927978516&distance=1000&callback=myJsonpCallback,Loaf N Jug,137 Manitou Ave,Manitou Springs,CO,80829,ATMKR002557,<MISSING>,38.858163,-104.894727,12:00am - 12:00am Sun-Sat,USA,ATM
